Federal Individual Income Tax Rates History,,,,,,,,,,,,,
Nominal Dollars,,,,,,,,,,,,,
 Income Years 1913-2021,,,,,,,,,,,,,
,Married Filing Jointly,,,Married Filing Separately,,,Single Filer,,,Head of Household,,,Notes:
,3.0%,>,"$4,000",3.0%,>,"$4,000",3.0%,>,"$4,000",3.0%,>,"$4,000",
,5.0%,>,"$8,000",5.0%,>,"$8,000",5.0%,>,"$8,000",5.0%,>,"$8,000",
,6.0%,>,"$10,000",6.0%,>,"$10,000",6.0%,>,"$10,000",6.0%,>,"$10,000",
,7.0%,>,"$14,000",7.0%,>,"$14,000",7.0%,>,"$14,000",7.0%,>,"$14,000",
,8.0%,>,"$16,000",8.0%,>,"$16,000",8.0%,>,"$16,000",8.0%,>,"$16,000",
,9.0%,>,"$18,000",9.0%,>,"$18,000",9.0%,>,"$18,000",9.0%,>,"$18,000",
,10.0%,>,"$20,000",10.0%,>,"$20,000",10.0%,>,"$20,000",10.0%,>,"$20,000",
,11.0%,>,"$22,000",11.0%,>,"$22,000",11.0%,>,"$22,000",11.0%,>,"$22,000",
,12.0%,>,"$24,000",12.0%,>,"$24,000",12.0%,>,"$24,000",12.0%,>,"$24,000",
,13.0%,>,"$28,000",13.0%,>,"$28,000",13.0%,>,"$28,000",13.0%,>,"$28,000",
,14.0%,>,"$32,000",14.0%,>,"$32,000",14.0%,>,"$32,000",14.0%,>,"$32,000",
,15.0%,>,"$36,000",15.0%,>,"$36,000",15.0%,>,"$36,000",15.0%,>,"$36,000",
,16.0%,>,"$40,000",16.0%,>,"$40,000",16.0%,>,"$40,000",16.0%,>,"$40,000",
,17.0%,>,"$44,000",17.0%,>,"$44,000",17.0%,>,"$44,000",17.0%,>,"$44,000",
,18.0%,>,"$48,000",18.0%,>,"$48,000",18.0%,>,"$48,000",18.0%,>,"$48,000",
,19.0%,>,"$52,000",19.0%,>,"$52,000",19.0%,>,"$52,000",19.0%,>,"$52,000",
,20.0%,>,"$56,000",20.0%,>,"$56,000",20.0%,>,"$56,000",20.0%,>,"$56,000",
,21.0%,>,"$60,000",21.0%,>,"$60,000",21.0%,>,"$60,000",21.0%,>,"$60,000",
,22.0%,>,"$64,000",22.0%,>,"$64,000",22.0%,>,"$64,000",22.0%,>,"$64,000",
,23.0%,>,"$70,000",23.0%,>,"$70,000",23.0%,>,"$70,000",23.0%,>,"$70,000",
,24.0%,>,"$80,000",24.0%,>,"$80,000",24.0%,>,"$80,000",24.0%,>,"$80,000",
,25.0%,>,"$100,000",25.0%,>,"$100,000",25.0%,>,"$100,000",25.0%,>,"$100,000",
,,,,,,,,,,,,,
1928,1.5%,>,$0,1.5%,>,$0,1.5%,>,$0,1.5%,>,$0,"Tax rates include normal taxes of 1.5 percent on the first $4,000 of taxable income, 3 percent on the next $4,000, and 5 percent on taxable income over $8,000, plus applicable surtaxes. Last law to change rates was the Revenue Act of 1928."
,3.0%,>,"$4,000",3.0%,>,"$4,000",3.0%,>,"$4,000",3.0%,>,"$4,000",
,5.0%,>,"$8,000",5.0%,>,"$8,000",5.0%,>,"$8,000",5.0%,>,"$8,000",
,6.0%,>,"$10,000",6.0%,>,"$10,000",6.0%,>,"$10,000",6.0%,>,"$10,000",
,7.0%,>,"$14,000",7.0%,>,"$14,000",7.0%,>,"$14,000",7.0%,>,"$14,000",
,8.0%,>,"$16,000",8.0%,>,"$16,000",8.0%,>,"$16,000",8.0%,>,"$16,000",
,9.0%,>,"$18,000",9.0%,>,"$18,000",9.0%,>,"$18,000",9.0%,>,"$18,000",
,10.0%,>,"$20,000",10.0%,>,"$20,000",10.0%,>,"$20,000",10.0%,>,"$20,000",
,11.0%,>,"$22,000",11.0%,>,"$22,000",11.0%,>,"$22,000",11.0%,>,"$22,000",
,12.0%,>,"$24,000",12.0%,>,"$24,000",12.0%,>,"$24,000",12.0%,>,"$24,000",
,13.0%,>,"$28,000",13.0%,>,"$28,000",13.0%,>,"$28,000",13.0%,>,"$28,000",
,14.0%,>,"$32,000",14.0%,>,"$32,000",14.0%,>,"$32,000",14.0%,>,"$32,000",
,15.0%,>,"$36,000",15.0%,>,"$36,000",15.0%,>,"$36,000",15.0%,>,"$36,000",
,16.0%,>,"$40,000",16.0%,>,"$40,000",16.0%,>,"$40,000",16.0%,>,"$40,000",
,17.0%,>,"$44,000",17.0%,>,"$44,000",17.0%,>,"$44,000",17.0%,>,"$44,000",
,18.0%,>,"$48,000",18.0%,>,"$48,000",18.0%,>,"$48,000",18.0%,>,"$48,000",
,19.0%,>,"$52,000",19.0%,>,"$52,000",19.0%,>,"$52,000",19.0%,>,"$52,000",
,20.0%,>,"$56,000",20.0%,>,"$56,000",20.0%,>,"$56,000",20.0%,>,"$56,000",
,21.0%,>,"$60,000",21.0%,>,"$60,000",21.0%,>,"$60,000",21.0%,>,"$60,000",
,22.0%,>,"$64,000",22.0%,>,"$64,000",22.0%,>,"$64,000",22.0%,>,"$64,000",
,23.0%,>,"$70,000",23.0%,>,"$70,000",23.0%,>,"$70,000",23.0%,>,"$70,000",
,24.0%,>,"$80,000",24.0%,>,"$80,000",24.0%,>,"$80,000",24.0%,>,"$80,000",
,25.0%,>,"$100,000",25.0%,>,"$100,000",25.0%,>,"$100,000",25.0%,>,"$100,000",
,,,,,,,,,,,,,
1927,1.5%,>,$0,1.5%,>,$0,1.5%,>,$0,1.5%,>,$0,"Tax rates include normal taxes of 1.5 percent on the first $4,000 of taxable income, 3 percent on the next $4,000, and 5 percent on taxable income over $8,000, plus applicable surtaxes. Last law to change rates was the Revenue Act of 1926."
,3.0%,>,"$4,000",3.0%,>,"$4,000",3.0%,>,"$4,000",3.0%,>,"$4,000",
,5.0%,>,"$8,000",5.0%,>,"$8,000",5.0%,>,"$8,000",5.0%,>,"$8,000",
,6.0%,>,"$10,000",6.0%,>,"$10,000",6.0%,>,"$10,000",6.0%,>,"$10,000",
,7.0%,>,"$14,000",7.0%,>,"$14,000",7.0%,>,"$14,000",7.0%,>,"$14,000",
,8.0%,>,"$16,000",8.0%,>,"$16,000",8.0%,>,"$16,000",8.0%,>,"$16,000",
,9.0%,>,"$18,000",9.0%,>,"$18,000",9.0%,>,"$18,000",9.0%,>,"$18,000",
,10.0%,>,"$20,000",10.0%,>,"$20,000",10.0%,>,"$20,000",10.0%,>,"$20,000",
,11.0%,>,"$22,000",11.0%,>,"$22,000",11.0%,>,"$22,000",11.0%,>,"$22,000",
,12.0%,>,"$24,000",12.0%,>,"$24,000",12.0%,>,"$24,000",12.0%,>,"$24,000",
,13.0%,>,"$28,000",13.0%,>,"$28,000",13.0%,>,"$28,000",13.0%,>,"$28,000",
,14.0%,>,"$32,000",14.0%,>,"$32,000",14.0%,>,"$32,000",14.0%,>,"$32,000",
,15.0%,>,"$36,000",15.0%,>,"$36,000",15.0%,>,"$36,000",15.0%,>,"$36,000",
,16.0%,>,"$40,000",16.0%,>,"$40,000",16.0%,>,"$40,000",16.0%,>,"$40,000",
,17.0%,>,"$44,000",17.0%,>,"$44,000",17.0%,>,"$44,000",17.0%,>,"$44,000",
,18.0%,>,"$48,000",18.0%,>,"$48,000",18.0%,>,"$48,000",18.0%,>,"$48,000",
,19.0%,>,"$52,000",19.0%,>,"$52,000",19.0%,>,"$52,000",19.0%,>,"$52,000",
,20.0%,>,"$56,000",20.0%,>,"$56,000",20.0%,>,"$56,000",20.0%,>,"$56,000",
,21.0%,>,"$60,000",21.0%,>,"$60,000",21.0%,>,"$60,000",21.0%,>,"$60,000",
,22.0%,>,"$64,000",22.0%,>,"$64,000",22.0%,>,"$64,000",22.0%,>,"$64,000",
,23.0%,>,"$70,000",23.0%,>,"$70,000",23.0%,>,"$70,000",23.0%,>,"$70,000",
,24.0%,>,"$80,000",24.0%,>,"$80,000",24.0%,>,"$80,000",24.0%,>,"$80,000",
,25.0%,>,"$100,000",25.0%,>,"$100,000",25.0%,>,"$100,000",25.0%,>,"$100,000",
,,,,,,,,,,,,,
1926,1.5%,>,$0,1.5%,>,$0,1.5%,>,$0,1.5%,>,$0,"Tax rates include normal taxes of 1.5 percent on the first $4,000 of taxable income, 3 percent on the next $4,000, and 5 percent on taxable income over $8,000, plus applicable surtaxes. Last law to change rates was the Revenue Act of 1926."
,3.0%,>,"$4,000",3.0%,>,"$4,000",3.0%,>,"$4,000",3.0%,>,"$4,000",
,5.0%,>,"$8,000",5.0%,>,"$8,000",5.0%,>,"$8,000",5.0%,>,"$8,000",
,6.0%,>,"$10,000",6.0%,>,"$10,000",6.0%,>,"$10,000",6.0%,>,"$10,000",
,7.0%,>,"$14,000",7.0%,>,"$14,000",7.0%,>,"$14,000",7.0%,>,"$14,000",
,8.0%,>,"$16,000",8.0%,>,"$16,000",8.0%,>,"$16,000",8.0%,>,"$16,000",
,9.0%,>,"$18,000",9.0%,>,"$18,000",9.0%,>,"$18,000",9.0%,>,"$18,000",
,10.0%,>,"$20,000",10.0%,>,"$20,000",10.0%,>,"$20,000",10.0%,>,"$20,000",
,11.0%,>,"$22,000",11.0%,>,"$22,000",11.0%,>,"$22,000",11.0%,>,"$22,000",
,12.0%,>,"$24,000",12.0%,>,"$24,000",12.0%,>,"$24,000",12.0%,>,"$24,000",
,13.0%,>,"$28,000",13.0%,>,"$28,000",13.0%,>,"$28,000",13.0%,>,"$28,000",
,14.0%,>,"$32,000",14.0%,>,"$32,000",14.0%,>,"$32,000",14.0%,>,"$32,000",
,15.0%,>,"$36,000",15.0%,>,"$36,000",15.0%,>,"$36,000",15.0%,>,"$36,000",
,16.0%,>,"$40,000",16.0%,>,"$40,000",16.0%,>,"$40,000",16.0%,>,"$40,000",
,17.0%,>,"$44,000",17.0%,>,"$44,000",17.0%,>,"$44,000",17.0%,>,"$44,000",
,18.0%,>,"$48,000",18.0%,>,"$48,000",18.0%,>,"$48,000",18.0%,>,"$48,000",
,19.0%,>,"$52,000",19.0%,>,"$52,000",19.0%,>,"$52,000",19.0%,>,"$52,000",
,20.0%,>,"$56,000",20.0%,>,"$56,000",20.0%,>,"$56,000",20.0%,>,"$56,000",
,21.0%,>,"$60,000",21.0%,>,"$60,000",21.0%,>,"$60,000",21.0%,>,"$60,000",
,22.0%,>,"$64,000",22.0%,>,"$64,000",22.0%,>,"$64,000",22.0%,>,"$64,000",
,23.0%,>,"$70,000",23.0%,>,"$70,000",23.0%,>,"$70,000",23.0%,>,"$70,000",
,24.0%,>,"$80,000",24.0%,>,"$80,000",24.0%,>,"$80,000",24.0%,>,"$80,000",
,25.0%,>,"$100,000",25.0%,>,"$100,000",25.0%,>,"$100,000",25.0%,>,"$100,000",
,,,,,,,,,,,,,
1925,1.5%,>,$0,1.5%,>,$0,1.5%,>,$0,1.5%,>,$0,"Tax rates include normal taxes of 1.5 percent on the first $4,000 of taxable income, 3 percent on the next $4,000, and 5 percent on taxable income over $8,000, plus applicable surtaxes. Last law to change rates was the Revenue Act of 1924."
,3.0%,>,"$4,000",3.0%,>,"$4,000",3.0%,>,"$4,000",3.0%,>,"$4,000",
,5.0%,>,"$8,000",5.0%,>,"$8,000",5.0%,>,"$8,000",5.0%,>,"$8,000",
,6.0%,>,"$10,000",6.0%,>,"$10,000",6.0%,>,"$10,000",6.0%,>,"$10,000",
,7.0%,>,"$14,000",7.0%,>,"$14,000",7.0%,>,"$14,000",7.0%,>,"$14,000",
,8.0%,>,"$16,000",8.0%,>,"$16,000",8.0%,>,"$16,000",8.0%,>,"$16,000",
,9.0%,>,"$18,000",9.0%,>,"$18,000",9.0%,>,"$18,000",9.0%,>,"$18,000",
,10.0%,>,"$20,000",10.0%,>,"$20,000",10.0%,>,"$20,000",10.0%,>,"$20,000",
,11.0%,>,"$22,000",11.0%,>,"$22,000",11.0%,>,"$22,000",11.0%,>,"$22,000",
,12.0%,>,"$24,000",12.0%,>,"$24,000",12.0%,>,"$24,000",12.0%,>,"$24,000",
,13.0%,>,"$28,000",13.0%,>,"$28,000",13.0%,>,"$28,000",13.0%,>,"$28,000",
,14.0%,>,"$32,000",14.0%,>,"$32,000",14.0%,>,"$32,000",14.0%,>,"$32,000",
,15.0%,>,"$36,000",15.0%,>,"$36,000",15.0%,>,"$36,000",15.0%,>,"$36,000",
,16.0%,>,"$40,000",16.0%,>,"$40,000",16.0%,>,"$40,000",16.0%,>,"$40,000",
,17.0%,>,"$44,000",17.0%,>,"$44,000",17.0%,>,"$44,000",17.0%,>,"$44,000",
,18.0%,>,"$48,000",18.0%,>,"$48,000",18.0%,>,"$48,000",18.0%,>,"$48,000",
,19.0%,>,"$52,000",19.0%,>,"$52,000",19.0%,>,"$52,000",19.0%,>,"$52,000",
,20.0%,>,"$56,000",20.0%,>,"$56,000",20.0%,>,"$56,000",20.0%,>,"$56,000",
,21.0%,>,"$60,000",21.0%,>,"$60,000",21.0%,>,"$60,000",21.0%,>,"$60,000",
,22.0%,>,"$64,000",22.0%,>,"$64,000",22.0%,>,"$64,000",22.0%,>,"$64,000",
,23.0%,>,"$70,000",23.0%,>,"$70,000",23.0%,>,"$70,000",23.0%,>,"$70,000",
,24.0%,>,"$80,000",24.0%,>,"$80,000",24.0%,>,"$80,000",24.0%,>,"$80,000",
,25.0%,>,"$100,000",25.0%,>,"$100,000",25.0%,>,"$100,000",25.0%,>,"$100,000",
,,,,,,,,,,,,,
1924,2.0%,>,$0,2.0%,>,$0,2.0%,>,$0,2.0%,>,$0,"Tax rates include normal taxes of 1.5 percent on the first $4,000 of taxable income, 3 percent on the next $4,000, and 5 percent on taxable income over $8,000, plus applicable surtaxes. Last law to change rates was the Revenue Act of 1924."
,4.0%,>,"$4,000",4.0%,>,"$4,000",4.0%,>,"$4,000",4.0%,>,"$4,000",
,6.0%,>,"$8,000",6.0%,>,"$8,000",6.0%,>,"$8,000",6.0%,>,"$8,000",
,7.0%,>,"$10,000",7.0%,>,"$10,000",7.0%,>,"$10,000",7.0%,>,"$10,000",
,8.0%,>,"$14,000",8.0%,>,"$14,000",8.0%,>,"$14,000",8.0%,>,"$14,000",
,9.0%,>,"$16,000",9.0%,>,"$16,000",9.0%,>,"$16,000",9.0%,>,"$16,000",
,10.0%,>,"$18,000",10.0%,>,"$18,000",10.0%,>,"$18,000",10.0%,>,"$18,000",
,11.0%,>,"$20,000",11.0%,>,"$20,000",11.0%,>,"$20,000",11.0%,>,"$20,000",
,12.0%,>,"$22,000",12.0%,>,"$22,000",12.0%,>,"$22,000",12.0%,>,"$22,000",
,13.0%,>,"$24,000",13.0%,>,"$24,000",13.0%,>,"$24,000",13.0%,>,"$24,000",
,14.0%,>,"$26,000",14.0%,>,"$26,000",14.0%,>,"$26,000",14.0%,>,"$26,000",
,15.0%,>,"$28,000",15.0%,>,"$28,000",15.0%,>,"$28,000",15.0%,>,"$28,000",
,16.0%,>,"$30,000",16.0%,>,"$30,000",16.0%,>,"$30,000",16.0%,>,"$30,000",
,17.0%,>,"$34,000",17.0%,>,"$34,000",17.0%,>,"$34,000",17.0%,>,"$34,000",
,18.0%,>,"$36,000",18.0%,>,"$36,000",18.0%,>,"$36,000",18.0%,>,"$36,000",
,19.0%,>,"$38,000",19.0%,>,"$38,000",19.0%,>,"$38,000",19.0%,>,"$38,000",
,20.0%,>,"$42,000",20.0%,>,"$42,000",20.0%,>,"$42,000",20.0%,>,"$42,000",
,21.0%,>,"$44,000",21.0%,>,"$44,000",21.0%,>,"$44,000",21.0%,>,"$44,000",
,22.0%,>,"$46,000",22.0%,>,"$46,000",22.0%,>,"$46,000",22.0%,>,"$46,000",
,23.0%,>,"$48,000",23.0%,>,"$48,000",23.0%,>,"$48,000",23.0%,>,"$48,000",
,24.0%,>,"$50,000",24.0%,>,"$50,000",24.0%,>,"$50,000",24.0%,>,"$50,000",
,25.0%,>,"$52,000",25.0%,>,"$52,000",25.0%,>,"$52,000",25.0%,>,"$52,000",
,26.0%,>,"$56,000",26.0%,>,"$56,000",26.0%,>,"$56,000",26.0%,>,"$56,000",
,27.0%,>,"$58,000",27.0%,>,"$58,000",27.0%,>,"$58,000",27.0%,>,"$58,000",
,28.0%,>,"$62,000",28.0%,>,"$62,000",28.0%,>,"$62,000",28.0%,>,"$62,000",
,29.0%,>,"$64,000",29.0%,>,"$64,000",29.0%,>,"$64,000",29.0%,>,"$64,000",
,30.0%,>,"$66,000",30.0%,>,"$66,000",30.0%,>,"$66,000",30.0%,>,"$66,000",
,31.0%,>,"$68,000",31.0%,>,"$68,000",31.0%,>,"$68,000",31.0%,>,"$68,000",
,32.0%,>,"$70,000",32.0%,>,"$70,000",32.0%,>,"$70,000",32.0%,>,"$70,000",
,33.0%,>,"$74,000",33.0%,>,"$74,000",33.0%,>,"$74,000",33.0%,>,"$74,000",
,34.0%,>,"$76,000",34.0%,>,"$76,000",34.0%,>,"$76,000",34.0%,>,"$76,000",
,35.0%,>,"$80,000",35.0%,>,"$80,000",35.0%,>,"$80,000",35.0%,>,"$80,000",
,36.0%,>,"$82,000",36.0%,>,"$82,000",36.0%,>,"$82,000",36.0%,>,"$82,000",
,37.0%,>,"$84,000",37.0%,>,"$84,000",37.0%,>,"$84,000",37.0%,>,"$84,000",
,38.0%,>,"$88,000",38.0%,>,"$88,000",38.0%,>,"$88,000",38.0%,>,"$88,000",
,39.0%,>,"$90,000",39.0%,>,"$90,000",39.0%,>,"$90,000",39.0%,>,"$90,000",
,40.0%,>,"$92,000",40.0%,>,"$92,000",40.0%,>,"$92,000",40.0%,>,"$92,000",
,41.0%,>,"$94,000",41.0%,>,"$94,000",41.0%,>,"$94,000",41.0%,>,"$94,000",
,42.0%,>,"$96,000",42.0%,>,"$96,000",42.0%,>,"$96,000",42.0%,>,"$96,000",
,43.0%,>,"$100,000",43.0%,>,"$100,000",43.0%,>,"$100,000",43.0%,>,"$100,000",
,44.0%,>,"$200,000",44.0%,>,"$200,000",44.0%,>,"$200,000",44.0%,>,"$200,000",
,45.0%,>,"$300,000",45.0%,>,"$300,000",45.0%,>,"$300,000",45.0%,>,"$300,000",
,46.0%,>,"$500,000",46.0%,>,"$500,000",46.0%,>,"$500,000",46.0%,>,"$500,000",
,,,,,,,,,,,,,
1923,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,"Tax rates include normal tax plus applicable surtaxes. Tax for 1923 was reduced 25 percent by credit or refund under the Revenue Act of 1924, so the IRS reports the top and bottom rates as 3% and 43.5% at http://www.irs.gov/pub/irs-soi/02inpetr.pdf. Last law to change rates was the Revenue Act of 1921."
,8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",
,9.0%,>,"$6,000",9.0%,>,"$6,000",9.0%,>,"$6,000",9.0%,>,"$6,000",
,10.0%,>,"$10,000",10.0%,>,"$10,000",10.0%,>,"$10,000",10.0%,>,"$10,000",
,11.0%,>,"$12,000",11.0%,>,"$12,000",11.0%,>,"$12,000",11.0%,>,"$12,000",
,12.0%,>,"$14,000",12.0%,>,"$14,000",12.0%,>,"$14,000",12.0%,>,"$14,000",
,13.0%,>,"$16,000",13.0%,>,"$16,000",13.0%,>,"$16,000",13.0%,>,"$16,000",
,14.0%,>,"$18,000",14.0%,>,"$18,000",14.0%,>,"$18,000",14.0%,>,"$18,000",
,16.0%,>,"$20,000",16.0%,>,"$20,000",16.0%,>,"$20,000",16.0%,>,"$20,000",
,17.0%,>,"$22,000",17.0%,>,"$22,000",17.0%,>,"$22,000",17.0%,>,"$22,000",
,18.0%,>,"$24,000",18.0%,>,"$24,000",18.0%,>,"$24,000",18.0%,>,"$24,000",
,19.0%,>,"$26,000",19.0%,>,"$26,000",19.0%,>,"$26,000",19.0%,>,"$26,000",
,20.0%,>,"$28,000",20.0%,>,"$28,000",20.0%,>,"$28,000",20.0%,>,"$28,000",
,21.0%,>,"$30,000",21.0%,>,"$30,000",21.0%,>,"$30,000",21.0%,>,"$30,000",
,23.0%,>,"$32,000",23.0%,>,"$32,000",23.0%,>,"$32,000",23.0%,>,"$32,000",
,24.0%,>,"$36,000",24.0%,>,"$36,000",24.0%,>,"$36,000",24.0%,>,"$36,000",
,25.0%,>,"$38,000",25.0%,>,"$38,000",25.0%,>,"$38,000",25.0%,>,"$38,000",
,26.0%,>,"$40,000",26.0%,>,"$40,000",26.0%,>,"$40,000",26.0%,>,"$40,000",
,27.0%,>,"$42,000",27.0%,>,"$42,000",27.0%,>,"$42,000",27.0%,>,"$42,000",
,28.0%,>,"$44,000",28.0%,>,"$44,000",28.0%,>,"$44,000",28.0%,>,"$44,000",
,29.0%,>,"$46,000",29.0%,>,"$46,000",29.0%,>,"$46,000",29.0%,>,"$46,000",
,30.0%,>,"$48,000",30.0%,>,"$48,000",30.0%,>,"$48,000",30.0%,>,"$48,000",
,31.0%,>,"$50,000",31.0%,>,"$50,000",31.0%,>,"$50,000",31.0%,>,"$50,000",
,32.0%,>,"$52,000",32.0%,>,"$52,000",32.0%,>,"$52,000",32.0%,>,"$52,000",
,33.0%,>,"$54,000",33.0%,>,"$54,000",33.0%,>,"$54,000",33.0%,>,"$54,000",
,34.0%,>,"$56,000",34.0%,>,"$56,000",34.0%,>,"$56,000",34.0%,>,"$56,000",
,35.0%,>,"$58,000",35.0%,>,"$58,000",35.0%,>,"$58,000",35.0%,>,"$58,000",
,36.0%,>,"$60,000",36.0%,>,"$60,000",36.0%,>,"$60,000",36.0%,>,"$60,000",
,37.0%,>,"$62,000",37.0%,>,"$62,000",37.0%,>,"$62,000",37.0%,>,"$62,000",
,38.0%,>,"$64,000",38.0%,>,"$64,000",38.0%,>,"$64,000",38.0%,>,"$64,000",
,39.0%,>,"$66,000",39.0%,>,"$66,000",39.0%,>,"$66,000",39.0%,>,"$66,000",
,40.0%,>,"$68,000",40.0%,>,"$68,000",40.0%,>,"$68,000",40.0%,>,"$68,000",
,41.0%,>,"$70,000",41.0%,>,"$70,000",41.0%,>,"$70,000",41.0%,>,"$70,000",
,42.0%,>,"$72,000",42.0%,>,"$72,000",42.0%,>,"$72,000",42.0%,>,"$72,000",
,43.0%,>,"$74,000",43.0%,>,"$74,000",43.0%,>,"$74,000",43.0%,>,"$74,000",
,44.0%,>,"$76,000",44.0%,>,"$76,000",44.0%,>,"$76,000",44.0%,>,"$76,000",
,45.0%,>,"$78,000",45.0%,>,"$78,000",45.0%,>,"$78,000",45.0%,>,"$78,000",
,46.0%,>,"$80,000",46.0%,>,"$80,000",46.0%,>,"$80,000",46.0%,>,"$80,000",
,47.0%,>,"$82,000",47.0%,>,"$82,000",47.0%,>,"$82,000",47.0%,>,"$82,000",
,48.0%,>,"$84,000",48.0%,>,"$84,000",48.0%,>,"$84,000",48.0%,>,"$84,000",
,49.0%,>,"$86,000",49.0%,>,"$86,000",49.0%,>,"$86,000",49.0%,>,"$86,000",
,50.0%,>,"$88,000",50.0%,>,"$88,000",50.0%,>,"$88,000",50.0%,>,"$88,000",
,51.0%,>,"$90,000",51.0%,>,"$90,000",51.0%,>,"$90,000",51.0%,>,"$90,000",
,52.0%,>,"$92,000",52.0%,>,"$92,000",52.0%,>,"$92,000",52.0%,>,"$92,000",
,53.0%,>,"$94,000",53.0%,>,"$94,000",53.0%,>,"$94,000",53.0%,>,"$94,000",
,54.0%,>,"$96,000",54.0%,>,"$96,000",54.0%,>,"$96,000",54.0%,>,"$96,000",
,55.0%,>,"$98,000",55.0%,>,"$98,000",55.0%,>,"$98,000",55.0%,>,"$98,000",
,56.0%,>,"$100,000",56.0%,>,"$100,000",56.0%,>,"$100,000",56.0%,>,"$100,000",
,57.0%,>,"$150,000",57.0%,>,"$150,000",57.0%,>,"$150,000",57.0%,>,"$150,000",
,58.0%,>,"$200,000",58.0%,>,"$200,000",58.0%,>,"$200,000",58.0%,>,"$200,000",
,,,,,,,,,,,,,
1922,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,"Tax rates include normal taxes of 4 percent on the first $4,000 of taxable income and 8 percent on taxable income over $8,000, plus applicable surtaxes. Last law to change rates was the Revenue Act of 1921."
,8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",
,9.0%,>,"$6,000",9.0%,>,"$6,000",9.0%,>,"$6,000",9.0%,>,"$6,000",
,10.0%,>,"$10,000",10.0%,>,"$10,000",10.0%,>,"$10,000",10.0%,>,"$10,000",
,11.0%,>,"$12,000",11.0%,>,"$12,000",11.0%,>,"$12,000",11.0%,>,"$12,000",
,12.0%,>,"$14,000",12.0%,>,"$14,000",12.0%,>,"$14,000",12.0%,>,"$14,000",
,13.0%,>,"$16,000",13.0%,>,"$16,000",13.0%,>,"$16,000",13.0%,>,"$16,000",
,14.0%,>,"$18,000",14.0%,>,"$18,000",14.0%,>,"$18,000",14.0%,>,"$18,000",
,16.0%,>,"$20,000",16.0%,>,"$20,000",16.0%,>,"$20,000",16.0%,>,"$20,000",
,17.0%,>,"$22,000",17.0%,>,"$22,000",17.0%,>,"$22,000",17.0%,>,"$22,000",
,18.0%,>,"$24,000",18.0%,>,"$24,000",18.0%,>,"$24,000",18.0%,>,"$24,000",
,19.0%,>,"$26,000",19.0%,>,"$26,000",19.0%,>,"$26,000",19.0%,>,"$26,000",
,20.0%,>,"$28,000",20.0%,>,"$28,000",20.0%,>,"$28,000",20.0%,>,"$28,000",
,21.0%,>,"$30,000",21.0%,>,"$30,000",21.0%,>,"$30,000",21.0%,>,"$30,000",
,23.0%,>,"$32,000",23.0%,>,"$32,000",23.0%,>,"$32,000",23.0%,>,"$32,000",
,24.0%,>,"$36,000",24.0%,>,"$36,000",24.0%,>,"$36,000",24.0%,>,"$36,000",
,25.0%,>,"$38,000",25.0%,>,"$38,000",25.0%,>,"$38,000",25.0%,>,"$38,000",
,26.0%,>,"$40,000",26.0%,>,"$40,000",26.0%,>,"$40,000",26.0%,>,"$40,000",
,27.0%,>,"$42,000",27.0%,>,"$42,000",27.0%,>,"$42,000",27.0%,>,"$42,000",
,28.0%,>,"$44,000",28.0%,>,"$44,000",28.0%,>,"$44,000",28.0%,>,"$44,000",
,29.0%,>,"$46,000",29.0%,>,"$46,000",29.0%,>,"$46,000",29.0%,>,"$46,000",
,30.0%,>,"$48,000",30.0%,>,"$48,000",30.0%,>,"$48,000",30.0%,>,"$48,000",
,31.0%,>,"$50,000",31.0%,>,"$50,000",31.0%,>,"$50,000",31.0%,>,"$50,000",
,32.0%,>,"$52,000",32.0%,>,"$52,000",32.0%,>,"$52,000",32.0%,>,"$52,000",
,33.0%,>,"$54,000",33.0%,>,"$54,000",33.0%,>,"$54,000",33.0%,>,"$54,000",
,34.0%,>,"$56,000",34.0%,>,"$56,000",34.0%,>,"$56,000",34.0%,>,"$56,000",
,35.0%,>,"$58,000",35.0%,>,"$58,000",35.0%,>,"$58,000",35.0%,>,"$58,000",
,36.0%,>,"$60,000",36.0%,>,"$60,000",36.0%,>,"$60,000",36.0%,>,"$60,000",
,37.0%,>,"$62,000",37.0%,>,"$62,000",37.0%,>,"$62,000",37.0%,>,"$62,000",
,38.0%,>,"$64,000",38.0%,>,"$64,000",38.0%,>,"$64,000",38.0%,>,"$64,000",
,39.0%,>,"$66,000",39.0%,>,"$66,000",39.0%,>,"$66,000",39.0%,>,"$66,000",
,40.0%,>,"$68,000",40.0%,>,"$68,000",40.0%,>,"$68,000",40.0%,>,"$68,000",
,41.0%,>,"$70,000",41.0%,>,"$70,000",41.0%,>,"$70,000",41.0%,>,"$70,000",
,42.0%,>,"$72,000",42.0%,>,"$72,000",42.0%,>,"$72,000",42.0%,>,"$72,000",
,43.0%,>,"$74,000",43.0%,>,"$74,000",43.0%,>,"$74,000",43.0%,>,"$74,000",
,44.0%,>,"$76,000",44.0%,>,"$76,000",44.0%,>,"$76,000",44.0%,>,"$76,000",
